Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1494352008337952	828.56	616.92	3.97	973.61	704.93	3.91
1494352008354620	828.28	616.20	3.98	969.19	695.94	3.89
1494352008371285	834.05	616.76	3.98	973.43	694.91	3.89
1494352008387943	828.18	611.81	3.97	974.24	700.50	3.91
1494352008404613	830.00	611.45	3.96	965.98	737.55	3.98
1494352008421273	834.13	593.23	3.86	961.33	739.35	4.01
1494352008437936	NaN	NaN	NaN	961.09	732.84	4.00
1494352008454608	824.23	601.04	3.94	967.44	712.31	3.96
1494352008471271	826.80	615.33	3.97	970.88	728.16	3.95
1494352008487933	823.09	610.22	3.94	961.37	700.44	3.90
1494352008504602	826.96	611.71	3.95	965.32	700.09	3.88
1494352008521267	826.80	614.26	3.94	958.27	723.52	4.00
1494352008537921	837.08	616.19	3.96	961.45	696.49	3.90
1494352008554588	824.12	612.83	3.93	958.67	715.94	3.91
1494352008571260	825.11	623.07	3.95	960.90	702.92	3.90
1494352008588075	827.24	610.82	3.93	967.24	703.34	3.90
1494352008604743	829.99	612.85	3.96	963.95	701.01	3.88
1494352008621413	827.91	618.54	3.94	964.99	700.62	3.89
1494352008638085	825.09	615.03	3.96	955.04	711.06	3.90
1494352008654760	823.73	613.65	3.97	959.95	704.08	3.88
1494352008671431	829.73	613.12	3.95	960.12	704.79	3.87
1494352008688100	833.90	618.46	3.97	959.28	704.16	3.90
1494352008704764	831.01	614.81	3.94	961.80	701.66	3.89
1494352008721440	826.10	614.22	3.94	970.77	696.63	3.88
1494352008738104	824.41	610.35	3.94	962.76	700.12	3.90
1494352008754781	829.81	615.05	3.95	959.24	707.46	3.88
1494352008771450	827.32	616.75	3.95	961.90	701.75	3.91
1494352008788120	825.29	604.91	3.91	962.94	693.90	3.87
1494352008804782	826.46	615.88	3.95	960.12	701.59	3.91
1494352008821456	830.41	615.28	3.94	963.06	699.34	3.89
1494352008838128	828.20	621.77	3.96	959.62	701.74	3.90
1494352008854798	830.33	612.13	3.95	964.00	702.29	3.91
1494352008871471	827.45	621.61	3.96	958.25	724.32	3.98
1494352008888139	827.47	615.64	3.94	957.14	718.27	3.97
1494352008904802	825.15	608.05	3.88	960.32	703.77	3.89
1494352008921481	828.30	611.75	3.95	956.17	720.41	3.94
1494352008938149	828.01	613.05	3.96	962.12	704.98	3.91
1494352008954818	828.20	618.17	3.97	957.46	708.40	3.92
1494352008971489	824.66	621.85	3.95	961.99	707.25	3.91
1494352008988158	829.07	615.83	3.96	959.66	704.68	3.90
1494352009004828	828.69	616.08	3.96	964.20	699.68	3.86
1494352009021496	826.16	615.02	3.93	960.96	704.72	3.88
1494352009038158	822.75	613.90	3.94	962.51	699.78	3.91
1494352009054834	NaN	NaN	NaN	959.41	701.22	3.88
1494352009071513	826.49	616.71	3.95	957.59	705.67	3.89
1494352009088007	825.02	606.90	3.93	959.94	707.31	3.86
1494352009104653	825.75	618.81	3.97	960.94	705.97	3.90
1494352009121384	824.31	619.46	3.94	963.41	703.89	3.89
1494352009138005	825.87	616.29	3.95	958.95	709.42	3.89
1494352009154678	830.09	615.98	3.94	960.56	701.51	3.91
1494352009171383	826.48	617.45	3.96	971.65	698.21	3.87
1494352009187993	824.94	616.25	3.95	967.52	705.20	3.93
1494352009204675	828.55	616.63	3.96	960.85	713.40	3.96
1494352009221382	830.67	611.81	3.96	961.97	715.49	3.95
1494352009238009	821.85	630.08	3.94	965.17	713.12	3.94
1494352009254662	827.93	613.99	3.94	963.19	714.00	3.94
1494352009271388	827.70	617.70	3.96	956.24	727.22	3.99
1494352009288004	829.38	615.58	3.93	959.82	722.38	3.97
1494352009304665	829.50	611.65	3.95	960.81	717.77	3.96
1494352009321304	828.75	619.80	3.96	954.66	730.93	4.01
1494352009338002	825.38	619.51	3.96	955.18	723.58	3.96
1494352009354662	821.43	611.96	3.94	961.88	724.46	3.95
1494352009371334	822.00	612.14	3.96	957.35	719.72	3.93
1494352009387995	843.22	619.70	3.93	966.28	700.30	3.89
1494352009404668	836.21	615.57	3.97	971.05	697.90	3.87
1494352009421324	830.89	617.19	3.98	979.96	707.77	3.84
1494352009437999	829.82	608.82	3.97	975.28	721.73	3.92
1494352009454665	829.54	607.30	3.96	978.58	714.41	3.90
1494352009471298	832.11	601.31	3.94	965.20	730.56	3.96
1494352009487985	831.02	605.89	3.94	974.61	722.79	3.93
1494352009504655	830.57	604.00	3.98	977.57	717.07	3.90
1494352009521327	828.92	606.39	3.95	976.95	715.44	3.90
1494352009537983	823.81	611.04	3.94	971.17	725.95	3.90
1494352009554642	831.03	608.21	3.96	973.47	725.57	3.94
1494352009571325	831.38	617.69	3.96	975.66	702.69	3.86
1494352009587985	835.71	610.09	3.95	975.44	725.21	3.88
1494352009604692	834.40	614.03	3.97	976.23	717.56	3.88
1494352009621354	837.08	614.47	3.93	960.46	714.85	3.89
1494352009638034	824.89	613.22	3.96	961.30	708.77	3.88
