Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1498591440895947	416.25	680.00	3.81	577.24	900.39	3.75
1498591440899306	412.97	677.50	3.80	573.29	898.13	3.75
1498591440902666	414.97	679.37	3.80	575.17	899.74	3.75
1498591440905925	415.71	676.93	3.80	572.54	904.83	3.75
1498591440909274	413.62	679.55	3.80	577.06	900.89	3.75
1498591440912619	414.37	677.38	3.80	576.58	903.99	3.74
1498591440915977	410.90	677.08	3.80	576.70	903.37	3.75
1498591440919258	411.15	680.93	3.80	576.52	905.80	3.75
1498591440922598	415.96	680.58	3.80	575.84	905.07	3.75
1498591440925946	416.97	678.03	3.81	576.16	904.57	3.75
1498591440929317	414.67	679.45	3.80	571.79	905.87	3.74
1498591440932564	415.69	679.86	3.81	573.66	905.29	3.75
1498591440935943	413.97	680.87	3.80	574.19	903.62	3.75
1498591440939284	417.80	678.03	3.80	574.85	905.07	3.75
1498591440942643	410.17	680.82	3.80	574.94	903.38	3.75
1498591440945913	411.08	682.65	3.80	574.40	904.52	3.75
1498591440949245	418.93	675.98	3.81	575.14	902.68	3.75
1498591440952606	415.08	678.64	3.81	575.09	899.26	3.74
1498591440955971	413.97	680.03	3.81	572.04	904.38	3.75
1498591440959314	417.46	675.17	3.80	575.65	903.50	3.75
1498591440962563	412.55	679.15	3.81	574.98	905.06	3.75
1498591440965937	415.36	680.71	3.81	574.02	903.92	3.74
1498591440969292	411.15	679.86	3.80	574.33	903.98	3.75
1498591440972665	414.43	678.31	3.81	574.54	902.38	3.75
1498591440975896	417.58	679.62	3.80	575.48	905.07	3.75
1498591440979264	418.25	679.06	3.81	572.12	907.26	3.75
1498591440982620	412.77	680.54	3.80	576.99	901.34	3.75
1498591440985982	412.92	680.02	3.81	573.85	905.15	3.75
1498591440989253	416.03	675.57	3.80	575.52	902.75	3.74
1498591440992591	413.18	680.33	3.81	574.97	902.72	3.75
1498591440995948	415.73	681.84	3.81	574.07	901.58	3.75
1498591440999303	414.77	679.50	3.81	576.26	903.41	3.75
1498591441002570	414.83	678.54	3.81	575.17	904.62	3.75
1498591441005938	411.66	678.18	3.80	574.24	903.98	3.75
1498591441009272	417.92	677.30	3.80	574.57	901.42	3.74
1498591441012632	417.80	676.50	3.81	575.22	905.17	3.75
1498591441015924	418.90	678.93	3.81	575.25	903.61	3.75
1498591441019264	412.39	681.53	3.81	575.30	903.61	3.75
1498591441022598	417.25	678.37	3.81	575.58	901.20	3.75
1498591441025955	416.60	680.02	3.81	576.09	899.61	3.75
1498591441029322	417.91	679.16	3.80	574.58	905.48	3.75
1498591441032598	416.62	674.52	3.81	578.96	903.28	3.76
1498591441035922	413.83	679.56	3.81	579.27	904.68	3.75
1498591441039286	415.66	680.49	3.81	579.54	905.01	3.75
1498591441042642	415.47	679.55	3.81	577.06	905.33	3.75
1498591441045915	417.05	676.90	3.80	575.89	906.57	3.75
1498591441049251	415.47	677.84	3.80	576.45	905.60	3.75
1498591441052611	418.40	677.25	3.81	574.73	900.99	3.74
1498591441055971	417.43	678.31	3.80	576.06	904.86	3.75
1498591441059246	412.59	677.85	3.81	577.17	904.10	3.75
1498591441062587	418.35	678.42	3.81	576.17	901.51	3.75
1498591441065937	420.92	679.18	3.81	574.70	904.69	3.75
1498591441069296	419.99	682.16	3.81	576.99	903.66	3.75
1498591441072574	415.44	677.26	3.81	573.94	906.82	3.75
1498591441075901	418.45	678.77	3.81	576.50	905.44	3.75
1498591441079264	412.79	676.72	3.80	574.35	904.17	3.75
1498591441082620	415.64	677.03	3.81	577.04	904.19	3.75
1498591441085884	415.92	679.61	3.81	579.44	903.43	3.75
1498591441089261	411.94	678.12	3.81	575.37	905.50	3.75
1498591441092585	418.02	678.04	3.81	580.51	905.80	3.75
